Title,Actors,Description
Guardians of the Galaxy,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
Prometheus,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Split,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Sing,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
Suicide Squad,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
The Great Wall,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.
La La Land,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",A jazz pianist falls for an aspiring actress in Los Angeles.
Mindhorn,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh","A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person."
The Lost City of Z,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland","A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s."
Passengers,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
Fantastic Beasts and Where to Find Them,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Hidden Figures,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Rogue One,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow."
Moana,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right."
Colossal,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson","Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon."
