Nombre,Capacidad
Samen Stadium omq,81768
Stade d'Honneur ugh,14010
Sultan Qaboos Complex uvl,67368
Hrazdan Stadium btf,27511
Beijing National Stadium mna,19515
Tokyo Racecourse xsi,15478
Dubai Autodrome jyr,58411
Shanghai Int'l Circuit plx,33413
Auto Club Speedway knj,34423
TT Circuit Assen gjr,55679
Big Arch Stadium kcu,22614
Estádio Francisco Stédile fbb,12925
Tianhe Stadium oyh,3540
Chengdu Sports Center kqn,57581
Route de Lorient cxp,28931
Nelson Mandela Stadium utc,28702
Camp Randall Stadium zkb,86216
Oriole Park at Camden Yards pdd,30282
Talladega Superspeedway qhf,11317
Santiago Bernabeu kfr,61652
Sardar Patel Stadium czp,33407
Estadio Morelos lop,78768
Aviva Stadium reg,37156
Stade des Martyrs ugc,76421
Rice Stadium pdn,86476
Estadio Cuauhtémoc cbi,41533
Autzen Stadium yxz,47523
Independence Park zyh,35121
Las Vegas Motor Speedway kjd,75232
Estádio Roberto Santos gbg,64565
BC Place Stadium anu,61607
Estádio Machado ncm,86293
Stade Chaban Delmas tfb,71229
Municipal de Braga nnp,96150
Sardar Patel Stadium yoj,47380
Red Bull Arena rcl,55485
Aloha Stadium rdg,13788
Feroz Shah Kotla cqw,2037
Cotton Bowl zdu,69879
Kyle Field fny,6476
José Pinheiro Borda ddh,39195
Ranji Stadium ynz,51409
Ben Hill Griffin Stadium otj,10576
Feroz Shah Kotla jww,83956
Namboole Stadium iem,5501
TT Circuit Assen oef,80218
LaVell Edwards Stadium nxx,7887
Estadio Nacional nng,59529
MA Chidambaram Stadium ctj,26355
Datianwan Stadium oxz,5328
Estadio Chacarita Juniors ayq,35410
RFK Memorial Stadium ecq,43380
Sports Authority Field wxs,39170
Dubai Autodrome akj,6385
Estadio del Centenario naz,83359
Dr. Lisandro de la Torre szj,47739
Rutgers Stadium dmi,30035
Gaelic Grounds adi,86098
Alberto J. Armando iys,15670
Gaelic Grounds oln,15845
Bryant Denny Stadium yev,10118
Lysgårdsbakkene mrq,63589
Stade Mohammed V fid,60926
Lysgårdsbakkene irb,39170
VCA Ground eci,90755
O.co Coliseum lwj,54442
Stadion Dnipro rsv,76485
Kauffman Stadium bue,58177
Cluj Arena eqy,1468
Wildparkstadion uay,50417
Dowdy Ficklen Stadium gyq,43975
Progressive Field zva,93046
Datianwan Stadium uiz,23003
Joan C. Edwards Stadium vkh,99032
Jordan Hare Stadium msl,52278
National Sports Stadium kvd,29898
Lambeau Field lwt,81957
Mountaineer Field lpl,53506
Ricoh Arena otl,15462
Estádio Manoel Barradas nvz,78413
Stadio San Filippo oqe,81386
Hipódromo Argentino cil,56234
Stadion NSK Olimpiyskiy chs,68186
Dowdy Ficklen Stadium zei,88084
Sepang F1 Circuit yvu,23859
Target Field iio,1304
Wrigley Field lqf,16312
Coca-Cola Park hhc,70807
BH Networks Stadium cnb,94217
Harvard Stadium jem,95922
Calder Park Raceway dzx,90071
Goodison Park crp,33846
Subiaco Oval tka,19852
Sydney Cricket Ground pcr,11467
Abuja Stadium opx,10467
Hrazdan Stadium oie,40112
Estadio da Cidadela jvl,25891
Friends Arena wik,41788
Chengdu Sports Center fwk,84625
Zentralstadion qed,95671
